name,author,publisher,family,location
科技与法律的博弈：大数据时代的隐私保护与被遗忘权,王沛莹,电子科技大学出版社,大数据,三楼A区
管理与决策,山西大学管理与决策研究中心,科学出版社,大数据,三楼A区
大数据时代青少年网络政治参与的有序机制研究,燕道成,知识产权出版社,大数据,三楼A区
大数据驱动的智慧医疗健康全社会资源管理,"罗利,张伟",科学出版社,大数据,三楼A区
Python数据挖掘与机器学习实战,方巍,机械工业出版社,大数据,三楼A区
Cloudera Hadoop大数据平台实战指南,"宋立桓,陈建平",清华大学出版社,大数据,三楼A区
大数据挖掘与统计机器学习,"吕晓玲,宋捷",中国人民大学出版社,大数据,三楼A区
"数据之巅：大数据革命，历史、现实与未来：history, reality and future",涂子沛,中信出版集团,大数据,三楼A区
Hadoop大数据开发实战,杨力,人民邮电出版社,大数据,三楼A区
大数据导论,"孟宪伟,许桂秋",人民邮电出版社,大数据,三楼A区
Python数据挖掘方法及应用,"王斌会,王术",电子工业出版社,大数据,三楼A区
统计之美：人工智能时代的科学思维,"李舰,海恩",电子工业出版社,大数据,三楼A区
人工智能+医疗健康：应用现状及未来发展概论,"张学高,周恭伟",电子工业出版社,大数据,四楼A区
数据产品经理修炼手册：从零基础到大数据产品实践,梁旭鹏,电子工业出版社,大数据,四楼A区
互联网医疗：规制、市场与实践,"王学成,侯劭勋",东方出版中心,大数据,四楼A区
R语言：数据可视化与统计分析基础,"王翔,朱敏",机械工业出版社,大数据,四楼A区
大数据时代个人信息保护研究,李媛,华中科技大学出版社,大数据,四楼A区
云时代的大数据技术与应用实践,朱利华,辽宁大学出版社有限责任公司,大数据,四楼A区
大数据时代计算机数据处理技术探究,蒋卫祥,北京工业大学出版社,大数据,四楼A区
大数据时代Hadoop技术及应用分析,"韦鹏程,施成湘,蔡银英",电子科技大学出版社,大数据,四楼A区
基于云计算的大数据处理技术发展与应用,"申时凯,,佘玉梅,",电子科技大学出版社,大数据,四楼A区
大数据背景下数据挖掘及处理分析,"李继光,杨迪",中国海洋大学出版社,大数据,四楼A区
信息碎片化时代大学生社会心态问题导向及干预机制价值研究,邱德明,中国铁道出版社,大数据,四楼A区
管理信息系统,"克伦克,博伊尔",中国人民大学出版社,大数据,四楼A区
"商事纠纷：公司、企业与破产：corporation, enterprise and bankruptcy",汪灏,北京大学出版社,大数据,四楼A区
从计算理论到大数据图灵机,朱定局,高等教育出版社,大数据,四楼A区
模式识别与分类导论,多尔蒂,机械工业出版社,大数据,四楼A区
C++代码整洁之道：C++17可持续软件开发模式实践：sustainable software development patterns and best practices with C++ 17,罗思,机械工业出版社,大数据,四楼A区
Flink原理、实战与性能优化,张利兵,机械工业出版社,大数据,四楼A区
PHP程序员面试算法宝典,"琉忆,楚秦",机械工业出版社,大数据,四楼A区
大数据+医疗：科学时代的思维与决策：the thinking and decision-making in the age of science,动脉网蛋壳研究院,机械工业出版社,大数据,四楼A区
Spark Streaming实时流式大数据处理实战,肖力涛,机械工业出版社,大数据,三楼C区
商务智能方法与应用,"张小梅,许桂秋",人民邮电出版社,大数据,三楼C区
深入理解Flink：实时大数据处理实践,余海峰,电子工业出版社,大数据,三楼C区
大数据管理系统,"江大伟,高云君,陈刚",化学工业出版社,大数据,三楼C区
计算机英语实用教程,"刘兆毓,郑家农,闫金平",清华大学出版社,大数据,三楼C区
Hadoop大数据技术原理与应用,黑马程序员,清华大学出版社,大数据,三楼C区
大数据案例精析,姚国章,北京大学出版社,大数据,三楼C区
掘金大数据：电信数据金矿详解、挖掘及应用,"程新洲,朱常波,晁昆",机械工业出版社,大数据,三楼C区
品牌营销：新零售时代品牌运营,官税冬,化学工业出版社,大数据,三楼C区
互联网信贷风险与大数据：如何开始互联网金融的实践,陈红梅,清华大学出版社,大数据,三楼C区
资产系统建设实务：城市商业银行科技架构研究与实践：research and practice of urban commercial bank technology structure,"王慧萍,周凤亮,张宇旗",机械工业出版社,大数据,三楼C区
赛先生的梦魇：新技术革命二十讲,金观涛,东方出版社,大数据,三楼C区
Web大数据处理与分析,"夏换,杨秀璋,于小民",科学出版社,大数据,三楼C区
大数据特征降维：粗糙集特征选择的群智能方法及应用研究,胡玉荣,中国水利水电出版社,大数据,三楼C区
大数据技术及其背景下的数据挖掘研究,"吴春琼,",中国水利水电出版社,大数据,三楼C区
大数据智能核心技术入门：从大数据到人工智能,杜圣东,电子工业出版社,大数据,三楼C区
物联网追溯系统及数据处理,"曹振丽,",电子工业出版社,大数据,三楼D区
信息通信技术 (ICT) 与智能制造,"马楠,黄育侦,秦晓琦",化学工业出版社,大数据,三楼D区
计算机专业英语,"戚文静,李晓峰,刘学",清华大学出版社,大数据,三楼D区
数据处理与深度学习,朱定局,清华大学出版社,大数据,三楼D区
Hadoop大数据分析实战,奥拉,清华大学出版社,大数据,三楼D区
大数据优秀产品和应用解决方案案例集．2019，产品及政务卷,国家工业信息安全发展研究中心,人民出版社,大数据,三楼D区
大数据优秀产品和应用解决方案案例集．2019，工业、能源、民生卷,"尹丽波,国家工业信息安全发展研究中心",人民出版社,大数据,三楼D区
人机交互中的用户行为研究,"武汇岳,",中山大学出版社,大数据,三楼D区
人工神经网络在环境科学与工程中的设计应用,"赵琦琳,施择,铁程",中国环境出版集团,大数据,三楼D区
数据分析及其在电力系统中的应用,"黄彦浩,于之虹,高波",中国电力出版社,大数据,三楼D区
基于Linux的主机运行维护,"董延华,李明岩",清华大学出版社,大数据,三楼D区
精神政治学,韩炳哲,中信出版集团,大数据,三楼D区
迎接智能法学的到来,"高晋康,杨继文",法律出版社,大数据,三楼D区
中国网络空间安全前沿科技发展报告,金海,人民邮电出版社,大数据,三楼D区
当大数据遇见物联网：智能决策解决之道,莫雷伊,清华大学出版社,大数据,三楼D区
大数据处理与存储技术,葛维春,清华大学出版社,大数据,三楼D区
数据库开发技术标准教程,"刘畅,彭涛",清华大学出版社,大数据,三楼D区
大数据技术概论,陈明,中国铁道出版社,大数据,三楼D区
交通调查与分析,"王建军,马超群",人民交通出版社,大数据,三楼D区
数据库基础及应用,"樊重俊,刘臣,杨云鹏",立信会计出版社,大数据,三楼D区
数据科学与数学建模,郝志峰,华中科技大学出版社,大数据,三楼D区
社会计算中的组织行为模式挖掘,"苏鹏,",电子工业出版社,大数据,三楼D区
论数码物的存在,许煜,上海人民出版社,大数据,三楼D区
互联网金融概论,蒋致远,电子工业出版社,大数据,三楼D区
Hadoop大数据技术基础及应用,大讲台大数据研习社,机械工业出版社,大数据,三楼D区
Spark大数据技术与应用,"赵红艳,许桂秋",人民邮电出版社,大数据,三楼D区
大数据可视化技术,"姜枫,许桂秋",人民邮电出版社,大数据,三楼D区
NoSQL数据库原理与应用,"王爱国,许桂秋",人民邮电出版社,大数据,三楼D区
大数据预处理技术,"朱晓姝,许桂秋",人民邮电出版社,大数据,三楼D区
数据挖掘与机器学习,"吴建生,许桂秋",人民邮电出版社,大数据,三楼D区
大数据导论：思维、技术与应用：thinking technology and application,武志学,人民邮电出版社,大数据,三楼D区
数据可视化,"陈为,沈则潜,陶煜波",电子工业出版社,大数据,三楼D区
MATLAB时间序列方法与实践,"江渝,李幸,卓金武",电子工业出版社,大数据,三楼D区
大数据可视分析方法与应用,"陈为,巫英才,鲍虎军",化学工业出版社,大数据,三楼D区
安全信息工程：以煤矿和交通安全监控为例,"张勇,郝生武,蔡辉",化学工业出版社,大数据,三楼D区
智能制造：理念、系统与建模方法,"刘敏,严隽薇",清华大学出版社,大数据,三楼D区
现代图书馆学研究概论,方文,中国纺织出版社,大数据,三楼D区
物联网应用设计与实战：基于AVR单片机和Python,武藤佳恭,机械工业出版社,大数据,三楼D区
R语言编程基础,"林智章,张良均",人民邮电出版社,大数据,三楼D区
大数据时代高等教育规范化管理研究,李娜,中国纺织出版社,大数据,四楼C区
文本挖掘,"贝里,科根",机械工业出版社,大数据,四楼C区
Spring Cloud 微服务分布式架构开发实战,"肖睿,陈昊,王社",人民邮电出版社,大数据,四楼C区
大数据对市场营销的影响与创新,"刘贵容,,刘军",经济管理出版社,大数据,四楼C区
自动化专业英语教程,王宏文,机械工业出版社,大数据,四楼C区
数据库程序员面试笔试真题与解析,"李华荣,翟世臣",机械工业出版社,大数据,四楼C区
城市规划大数据理论与方法,"龙瀛,毛其智",中国建筑工业出版社,大数据,四楼C区
大数据时代的数据挖掘,"李涛,",人民邮电出版社,大数据,四楼C区
Microsoft Power BI智能大数据分析,世纪互联蓝云公司,电子工业出版社,大数据,四楼C区
群体智能算法改进及其应用,"邱春艳,",科学出版社,大数据,四楼C区
应急·医学·医保·救援·装备产业化与信息技术,中国工程院,高等教育出版社,大数据,四楼C区
采用R和JavaScript的数据可视化,巴克,机械工业出版社,大数据,四楼C区
JVM G1源码分析和调优,彭成寒,机械工业出版社,大数据,四楼C区
高山村空间识别与规划对策研究：以重庆市为例,"李静,",中国建筑工业出版社,大数据,四楼C区
信息安全导论：在线实验+在线自测,"杨种学,孙维隆,李滢",人民邮电出版社,大数据,四楼C区
